==========================TRAIN LOG==================================
[04:20:14] [Batch 0] | Epoch 0] Loss: 7.3660 = 7.0000 + 0.0093 + 0.3567
[04:20:14] [Batch 0] | Epoch 1] Loss: 6.9851 = 6.9062 + 0.0079 + 0.0709
[04:20:14] [Batch 0] | Epoch 2] Loss: 6.9342 = 6.9062 + 0.0057 + 0.0222
[04:20:15] [Batch 0] | Epoch 3] Loss: 6.7697 = 6.7500 + 0.0106 + 0.0092
[04:20:15] [Batch 0] | Epoch 4] Loss: 6.5464 = 6.5312 + 0.0104 + 0.0048
[04:20:15] [Batch 0] | Epoch 5] Loss: 5.3574 = 5.3438 + 0.0107 + 0.0030
[04:20:15] [Batch 0] | Epoch 6] Loss: 2.6339 = 2.6250 + 0.0067 + 0.0022
[04:20:16] [Batch 0] | Epoch 7] Loss: 0.9473 = 0.9219 + 0.0236 + 0.0018
[04:20:16] [Batch 0] | Epoch 8] Loss: 0.3802 = 0.3027 + 0.0757 + 0.0018
[04:20:16] [Batch 0] | Epoch 9] Loss: 0.1757 = 0.1089 + 0.0650 + 0.0018
[04:20:16] [Batch 0] | Epoch 10] Loss: 0.0724 = 0.0349 + 0.0359 + 0.0016
[04:20:16] [Batch 0] | Epoch 11] Loss: 0.0449 = 0.0147 + 0.0283 + 0.0019
[04:20:17] [Batch 0] | Epoch 12] Loss: 0.0285 = 0.0071 + 0.0196 + 0.0018
[04:20:17] [Batch 0] | Epoch 13] Loss: 0.0280 = 0.0045 + 0.0219 + 0.0016
[04:20:17] [Batch 0] | Epoch 14] Loss: 0.0240 = 0.0031 + 0.0195 + 0.0014
[04:20:17] [Batch 0] | Epoch 15] Loss: 0.0230 = 0.0025 + 0.0193 + 0.0012
[04:20:18] [Batch 0] | Epoch 16] Loss: 0.0230 = 0.0023 + 0.0197 + 0.0011
[04:20:18] [Batch 0] | Epoch 17] Loss: 0.0225 = 0.0021 + 0.0194 + 0.0010
[04:20:18] [Batch 0] | Epoch 18] Loss: 0.0233 = 0.0020 + 0.0205 + 0.0009
[04:20:18] [Batch 0] | Epoch 19] Loss: 0.0198 = 0.0020 + 0.0170 + 0.0008
---------------------------------------------------------------------------
[04:20:35] [Batch 1] | Epoch 0] Loss: 9.9189 = 9.5000 + 0.0657 + 0.3531
[04:20:35] [Batch 1] | Epoch 1] Loss: 9.6346 = 9.5000 + 0.0637 + 0.0710
[04:20:36] [Batch 1] | Epoch 2] Loss: 9.5774 = 9.5000 + 0.0551 + 0.0222
[04:20:36] [Batch 1] | Epoch 3] Loss: 9.3775 = 9.3125 + 0.0557 + 0.0093
[04:20:36] [Batch 1] | Epoch 4] Loss: 8.9975 = 8.9375 + 0.0551 + 0.0049
[04:20:36] [Batch 1] | Epoch 5] Loss: 7.9930 = 7.9375 + 0.0524 + 0.0031
[04:20:36] [Batch 1] | Epoch 6] Loss: 3.9744 = 3.8594 + 0.1127 + 0.0023
[04:20:37] [Batch 1] | Epoch 7] Loss: 2.7601 = 2.6406 + 0.1176 + 0.0019
[04:20:37] [Batch 1] | Epoch 8] Loss: 1.2605 = 1.0781 + 0.1805 + 0.0019
[04:20:37] [Batch 1] | Epoch 9] Loss: 0.3491 = 0.2168 + 0.1303 + 0.0019
[04:20:37] [Batch 1] | Epoch 10] Loss: 0.1553 = 0.0251 + 0.1280 + 0.0021
[04:20:37] [Batch 1] | Epoch 11] Loss: 0.1601 = 0.0111 + 0.1469 + 0.0020
